RU;29;1466;TransparentCalls;0.76;750;74;40
US;35;1565;E-Voice;0.67;757;12;4
GB;46;1537;TransparentCalls;0.72;228;19;46
FR;29;1310;TransparentCalls;0.97;698;28;55
BL;44;885;E-Voice;0.85;824;67;11
AT;75;913;TransparentCalls;1.00;228;23;56
BG;91;1596;E-Voice;0.89;119;70;12
DK;17;301;JustPhone;0.87;5;4;13
CA;37;715;JustPhone;0.71;585;64;41
ES;1;1527;E-Voice;0.71;808;22;43
CH;87;219;JustPhone;0.94;807;80;17
TR;15;1131;TransparentCalls;0.79;913;25;43
PE;90;644;JustPhone;0.73;696;35;12
NZ;72;1243;JustPhone;0.82;61;64;57
MC;68;934;E-Voice;0.71;318;42;17
